mundial,equipo,pj,pg,pe,pp,gf,gc,pts,dg,pts_por_partido
2018,Belgium,3,3,0,0,9.0,2.0,9,7.0,3.0
2018,Croatia,3,3,0,0,7.0,1.0,9,6.0,3.0
2018,Uruguay,3,3,0,0,5.0,0.0,9,5.0,3.0
2018,Brazil,3,2,1,0,5.0,1.0,7,4.0,2.3333333333333335
2018,France,3,2,1,0,3.0,1.0,7,2.0,2.3333333333333335
2018,England,3,2,0,1,8.0,3.0,6,5.0,2.0
2018,Russia,3,2,0,1,8.0,4.0,6,4.0,2.0
2018,Colombia,3,2,0,1,5.0,2.0,6,3.0,2.0
2018,Sweden,3,2,0,1,5.0,2.0,6,3.0,2.0
2018,Mexico,3,2,0,1,3.0,4.0,6,-1.0,2.0
2018,Denmark,3,1,2,0,2.0,1.0,5,1.0,1.6666666666666667
2018,Portugal,3,1,2,0,5.0,4.0,5,1.0,1.6666666666666667
2018,Spain,3,1,2,0,6.0,5.0,5,1.0,1.6666666666666667
2018,Switzerland,3,1,2,0,5.0,4.0,5,1.0,1.6666666666666667
2018,Iran,3,1,1,1,2.0,2.0,4,0.0,1.3333333333333333
2018,Japan,3,1,1,1,4.0,4.0,4,0.0,1.3333333333333333
2018,Senegal,3,1,1,1,4.0,4.0,4,0.0,1.3333333333333333
2018,Argentina,3,1,1,1,3.0,5.0,4,-2.0,1.3333333333333333
2018,Peru,3,1,0,2,2.0,2.0,3,0.0,1.0
2018,South Korea,3,1,0,2,3.0,3.0,3,0.0,1.0
2018,Nigeria,3,1,0,2,3.0,4.0,3,-1.0,1.0
2018,Germany,3,1,0,2,2.0,4.0,3,-2.0,1.0
2018,Serbia,3,1,0,2,2.0,4.0,3,-2.0,1.0
2018,Poland,3,1,0,2,2.0,5.0,3,-3.0,1.0
2018,Tunisia,3,1,0,2,5.0,8.0,3,-3.0,1.0
2018,Saudi Arabia,3,1,0,2,2.0,7.0,3,-5.0,1.0
2018,Morocco,3,0,1,2,2.0,4.0,1,-2.0,0.3333333333333333
2018,Australia,3,0,1,2,2.0,5.0,1,-3.0,0.3333333333333333
2018,Costa Rica,3,0,1,2,2.0,5.0,1,-3.0,0.3333333333333333
2018,Iceland,3,0,1,2,2.0,5.0,1,-3.0,0.3333333333333333
2018,Egypt,3,0,0,3,2.0,6.0,0,-4.0,0.0
2018,Panama,3,0,0,3,2.0,11.0,0,-9.0,0.0
2022,England,3,2,1,0,9.0,2.0,7,7.0,2.3333333333333335
2022,Netherlands,3,2,1,0,5.0,1.0,7,4.0,2.3333333333333335
2022,Morocco,3,2,1,0,4.0,1.0,7,3.0,2.3333333333333335
2022,Argentina,3,2,0,1,5.0,2.0,6,3.0,2.0
2022,France,3,2,0,1,6.0,3.0,6,3.0,2.0
2022,Brazil,3,2,0,1,3.0,1.0,6,2.0,2.0
2022,Portugal,3,2,0,1,6.0,4.0,6,2.0,2.0
2022,Japan,3,2,0,1,4.0,3.0,6,1.0,2.0
2022,Senegal,3,2,0,1,5.0,4.0,6,1.0,2.0
2022,Switzerland,3,2,0,1,4.0,3.0,6,1.0,2.0
2022,Australia,3,2,0,1,3.0,4.0,6,-1.0,2.0
2022,Croatia,3,1,2,0,4.0,1.0,5,3.0,1.6666666666666667
2022,United States,3,1,2,0,2.0,1.0,5,1.0,1.6666666666666667
2022,Spain,3,1,1,1,9.0,3.0,4,6.0,1.3333333333333333
2022,Ecuador,3,1,1,1,4.0,3.0,4,1.0,1.3333333333333333
2022,Germany,3,1,1,1,6.0,5.0,4,1.0,1.3333333333333333
2022,Cameroon,3,1,1,1,4.0,4.0,4,0.0,1.3333333333333333
2022,Poland,3,1,1,1,2.0,2.0,4,0.0,1.3333333333333333
2022,South Korea,3,1,1,1,4.0,4.0,4,0.0,1.3333333333333333
2022,Tunisia,3,1,1,1,1.0,1.0,4,0.0,1.3333333333333333
2022,Uruguay,3,1,1,1,2.0,2.0,4,0.0,1.3333333333333333
2022,Belgium,3,1,1,1,1.0,2.0,4,-1.0,1.3333333333333333
2022,Mexico,3,1,1,1,2.0,3.0,4,-1.0,1.3333333333333333
2022,Ghana,3,1,0,2,5.0,7.0,3,-2.0,1.0
2022,Saudi Arabia,3,1,0,2,3.0,5.0,3,-2.0,1.0
2022,Iran,3,1,0,2,4.0,7.0,3,-3.0,1.0
2022,Costa Rica,3,1,0,2,3.0,11.0,3,-8.0,1.0
2022,Denmark,3,0,1,2,1.0,3.0,1,-2.0,0.3333333333333333
2022,Serbia,3,0,1,2,5.0,8.0,1,-3.0,0.3333333333333333
2022,Wales,3,0,1,2,1.0,6.0,1,-5.0,0.3333333333333333
2022,Canada,3,0,0,3,2.0,7.0,0,-5.0,0.0
2022,Qatar,3,0,0,3,1.0,7.0,0,-6.0,0.0
2026,France,3,3,0,0,10.0,2.0,9,8.0,3.0
2026,Argentina,3,3,0,0,8.0,1.0,9,7.0,3.0
2026,Mexico,3,3,0,0,6.0,0.0,9,6.0,3.0
2026,Brazil,3,2,1,0,7.0,1.0,7,6.0,2.3333333333333335
2026,Netherlands,3,2,1,0,10.0,4.0,7,6.0,2.3333333333333335
2026,Spain,3,2,1,0,5.0,0.0,7,5.0,2.3333333333333335
2026,England,3,2,1,0,6.0,2.0,7,4.0,2.3333333333333335
2026,Switzerland,3,2,1,0,7.0,3.0,7,4.0,2.3333333333333335
2026,Colombia,3,2,1,0,4.0,1.0,7,3.0,2.3333333333333335
2026,Morocco,3,2,1,0,6.0,3.0,7,3.0,2.3333333333333335
2026,Germany,3,2,0,1,10.0,4.0,6,6.0,2.0
2026,United States,3,2,0,1,8.0,4.0,6,4.0,2.0
2026,Ivory Coast,3,2,0,1,4.0,2.0,6,2.0,2.0
2026,Norway,3,2,0,1,8.0,7.0,6,1.0,2.0
2026,Croatia,3,2,0,1,5.0,5.0,6,0.0,2.0
2026,Portugal,3,1,2,0,6.0,1.0,5,5.0,1.6666666666666667
2026,Belgium,3,1,2,0,6.0,2.0,5,4.0,1.6666666666666667
2026,Japan,3,1,2,0,7.0,3.0,5,4.0,1.6666666666666667
2026,Egypt,3,1,2,0,5.0,3.0,5,2.0,1.6666666666666667
2026,Canada,3,1,1,1,8.0,3.0,4,5.0,1.3333333333333333
2026,DR Congo,3,1,1,1,4.0,3.0,4,1.0,1.3333333333333333
2026,Australia,3,1,1,1,2.0,2.0,4,0.0,1.3333333333333333
2026,Austria,3,1,1,1,6.0,6.0,4,0.0,1.3333333333333333
2026,Ecuador,3,1,1,1,2.0,2.0,4,0.0,1.3333333333333333
2026,Ghana,3,1,1,1,2.0,2.0,4,0.0,1.3333333333333333
2026,Sweden,3,1,1,1,7.0,7.0,4,0.0,1.3333333333333333
2026,Bosnia and Herzegovina,3,1,1,1,5.0,6.0,4,-1.0,1.3333333333333333
2026,South Africa,3,1,1,1,2.0,3.0,4,-1.0,1.3333333333333333
2026,Algeria,3,1,1,1,5.0,7.0,4,-2.0,1.3333333333333333
2026,Paraguay,3,1,1,1,2.0,4.0,4,-2.0,1.3333333333333333
2026,Senegal,3,1,0,2,8.0,6.0,3,2.0,1.0
2026,Cape Verde,3,0,3,0,2.0,2.0,3,0.0,1.0
2026,Iran,3,0,3,0,3.0,3.0,3,0.0,1.0
2026,South Korea,3,1,0,2,2.0,3.0,3,-1.0,1.0
2026,Turkey,3,1,0,2,3.0,5.0,3,-2.0,1.0
2026,Scotland,3,1,0,2,1.0,4.0,3,-3.0,1.0
2026,Uruguay,3,0,2,1,3.0,4.0,2,-1.0,0.6666666666666666
2026,Saudi Arabia,3,0,2,1,1.0,5.0,2,-4.0,0.6666666666666666
2026,Czechia,3,0,1,2,2.0,6.0,1,-4.0,0.3333333333333333
2026,New Zealand,3,0,1,2,4.0,10.0,1,-6.0,0.3333333333333333
2026,Curacao,3,0,1,2,1.0,9.0,1,-8.0,0.3333333333333333
2026,Qatar,3,0,1,2,2.0,10.0,1,-8.0,0.3333333333333333
2026,Panama,3,0,0,3,0.0,4.0,0,-4.0,0.0
2026,Jordan,3,0,0,3,3.0,8.0,0,-5.0,0.0
2026,Haiti,3,0,0,3,2.0,8.0,0,-6.0,0.0
2026,Uzbekistan,3,0,0,3,2.0,11.0,0,-9.0,0.0
2026,Tunisia,3,0,0,3,2.0,12.0,0,-10.0,0.0
2026,Iraq,3,0,0,3,1.0,12.0,0,-11.0,0.0
